3669.46 | H I       | h_i    | B25  | 25 |  2 |  
3671.48 | H I       | h_i    | B24  | 24 |  2 |  
3673.74 | H I       | h_i    | B23  | 23 |  2 |  
3676.36 | H I       | h_i    | B22  | 22 |  2 |  
3679.36 | H I       | h_i    | B21  | 21 |  2 |  
3682.81 | H I       | h_i    | B20  | 20 |  2 |  
3686.83 | H I       | h_i    | B19  | 19 |  2 |  
3691.56 | H I       | h_i    | B18  | 18 |  2 |  
3697.15 | H I       | h_i    | B17  | 17 |  2 |
3703.86 | H I       | h_i    | B16  | 16 |  2 |
3711.97 | H I       | h_i    | B15  | 15 |  2 |
3721.94 | H I       | h_i    | B14  | 14 |  2 |
3734.37 | H I       | h_i    | B13  | 13 |  2 |
3750.15 | H I       | h_i    | B12  | 12 |  2 |
3770.63 | H I       | h_i    | B11  | 11 |  2 |
3797.90 | H I       | h_i    | B10  | 10 |  2 |
3835.39 | H I       | h_i    | B9   |  9 |  2 |
3889.05 | H I       | h_i    | B8   |  8 |  2 |
3970.07 | H I       | h_i    | B7   |  7 |  2 |
4101.74 | H I       | h_i    | B6   |  6 |  2 |
4340.47 | H I       | h_i    | B5   |  5 |  2 |
4861.33 | H I       | h_i    | B4   |  4 |  2 |
6562.77 | H I       | h_i    | B3   |  3 |  2 |
8323.42 | H I       | h_i    | P25  | 25 |  3 |
8333.78 | H I       | h_i    | P24  | 24 |  3 |
8345.47 | H I       | h_i    | P23  | 23 |  3 |
8359.00 | H I       | h_i    | P22  | 22 |  3 |
8374.48 | H I       | h_i    | P21  | 21 |  3 |
8392.40 | H I       | h_i    | P20  | 20 |  3 |
8413.32 | H I       | h_i    | P19  | 19 |  3 |
8437.95 | H I       | h_i    | P18  | 18 |  3 |
8467.25 | H I       | h_i    | P17  | 17 |  3 |
8502.48 | H I       | h_i    | P16  | 16 |  3 |
8545.38 | H I       | h_i    | P15  | 15 |  3 |
8598.39 | H I       | h_i    | P14  | 14 |  3 |
8665.02 | H I       | h_i    | P13  | 13 |  3 |
8750.47 | H I       | h_i    | P12  | 12 |  3 |
8862.78 | H I       | h_i    | P11  | 11 |  3 |
9014.91 | H I       | h_i    | P10  | 10 |  3 |
