H+  6562.7700 2.708 -0.648 1.315 0.523 1.000
H+  4861.3300 0.668 -0.507 1.221 0.653 1.000
He+ 4471.5000 0.429 -0.530 1.505 0.779 0.790
He+ 5875.6600 1.323 -0.696 1.683 0.667 1.000
C1+ 6828.0000 0.046 -0.536 1.504 0.779 0.254
He2 4685.6800 1.549 -0.693 2.883 0.609 1.000
He2 6560.0900 0.361 -0.562 3.845 0.760 1.000
C2+ 4267.1500 1.011 -0.754 2.587 0.719 0.950
C2+ 7235.0000 1.724 -0.700 1.683 0.667 0.950
C2+ 6580.0000 2.334 -0.649 0.768 0.564 0.170
C3+ 4647.4200 0.429 -0.501 0.624 0.681 0.522
C3+ 4650.2500 0.429 -0.501 0.624 0.681 0.313
C3+ 4651.4700 0.429 -0.501 0.624 0.681 0.104
C3+ 4186.9000 0.174 -0.784 4.205 0.720 0.980
N3+ 4379.1100 0.697 -0.784 4.205 0.720 1.000
N3+ 4640.6400 1.449 -0.700 1.683 0.667 0.768
O3+ 4435.0000 0.155 -0.784 4.205 0.720 1.000
O3+ 3762.0000 1.462 -0.628 1.683 0.667 0.383
O3+ 5592.0000 0.050 -0.508 0.624 0.691 0.200
N4+ 7703.0000 0.438 -0.801 10.35 0.717 1.000
N4+ 7582.0000 0.363 -0.618 7.778 0.848 0.510
N4+ 4606.0000 0.587 -0.780 7.448 0.720 1.000
N4+ 4707.3130 0.293 -0.611 4.486 0.849 0.426
N4+ 3482.9960 0.429 -0.501 0.624 0.681 0.817
O4+ 7713.0000 0.428 -0.801 10.35 0.717 1.000
O4+ 7677.0000 0.363 -0.618 7.778 0.848 0.510
O4+ 4631.0000 0.587 -0.780 7.448 0.720 1.000
O4+ 4344.0000 0.391 -0.611 4.486 0.849 0.450
N5+ 7618.0000 0.550 -0.764 10.35 0.717 1.000
N5+ 4945.0000 0.566 -0.780 7.448 0.720 1.000
O5+ 7611.0000 0.354 -0.812 14.40 0.712 1.000
O5+ 7592.0000 0.311 -0.641 11.48 0.846 0.563
O5+ 4930.0000 0.438 -0.801 10.35 0.717 1.000
O6+ 5291.0000 0.545 -0.764 10.35 0.717 1.000
O6+ 3434.0000 0.566 -0.780 7.448 0.720 1.000
N7+ 5670.0000 0.369 -0.798 9.122 0.676 1.000
O8+ 6069.0000 0.245 -0.849 8.217 0.648 1.000
O8+ 8202.0000 0.208 -0.855 9.447 0.643 1.000
O8+ 6064.0000 0.080 -0.774 10.05 0.708 1.000
