 48
** Atomic data from version 5.2 of the CHIANTI database **
%observed energies: Fuhr et al., 1999, NIST Atomic Spectra Database Version 2.0
%theoretical energies: Berrington, K.A., Nakazaki, S., Norrington, P.H., 2000, A&AS, 142, 313
% produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
%
% P.R.Young - 15-Feb-2004
%observed energies: Fuhr et al., 1999, NIST Atomic Spectra Database Version 2.0
%A-values: Berrington, K.A., Nakazaki, S., Norrington, P.H., 2000, A&AS, 142, 313
%comment:
     The following A-values were incorrect in the Berrington et al. (2000)
     paper and have been corrected (K.A. Berrington, 2004, private communication)

i-i'   A(correct)    (in paper)
1-4   .372            3.25
1-7   .0150            .174
4-7   .182             .191

     The following table lists those transitions for which the new
     A-values (A_2) are more than 30% different from the previous
     CHIANTI A-values (Nussbaumer & Storey 1982).

  i  j       wvl       A_1       A_2   %diff
  1  5  4989.954 9.37e-002 1.35e-001   44.08
  1  6  4894.748 3.55e-002 5.02e-002   41.41
  2  6  5160.341 5.25e-002 7.62e-002   45.14
  3  7  5277.862 4.96e-002 7.35e-002   48.19
  4  6 33845.598 4.37e-002 5.72e-002   30.89
  4  8  8732.268 1.23e-003 4.14e-003  236.59
  7  8 13074.140 1.74e-005 4.54e-005  160.92

%produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
%
%  P.R. Young - 19-Feb-2004

%filename: fe_7.splups
%energies: Berrington, K.A., Nakazaki, S., Norrington, P.H., 2000, A&AS, 142, 313
%effective collision strengths: Berrington, K.A., Nakazaki, S., Norrington, P.H., 2000, A&AS, 142, 313
%comment:
     The authors estimate that their upsilons are accurate to no better
     than 20%. Note that there are large differences (factors 2-3) over
     the previous R-matrix calculation (Keenan & Norrington 1987, 1991)
     which are attributed to the much larger model used by Berrington et al.

     The CHIANTI fits reproduce the original upsilons to an accuracy of <1.4%.
%comment: effective collision strengths were provided in the temperature range 4.3 < logT < 6.0.
%produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
%
%  P.R.Young - 15-Feb-2004
 9 23 0
  1  3p6 3d2 3F2
  2  3p6 3d2 3F3
  3  3p6 3d2 3F4
  4  3p6 3d2 1D2
  5  3p6 3d2 3P0
  6  3p6 3d2 3P1
  7  3p6 3d2 3P2
  8  3p6 3d2 1G4
  9  3p6 3d2 1S0
     100.0
     158.5
     251.2
     398.1
     631.0
    1000.0
    1584.9
    2511.9
    3981.1
    6309.6
   10000.0
   15848.9
   25118.9
   39810.7
   63095.8
  100000.0
  158489.2
  251188.7
  398107.1
  630957.6
 1000000.0
 1584892.5
 2511887.0
0
  1  2   4.48e+00
  0  0   4.48e+00
  0  0   4.47e+00
  0  0   4.47e+00
  0  0   4.45e+00
  0  0   4.44e+00
  0  0   4.41e+00
  0  0   4.37e+00
  0  0   4.30e+00
  0  0   4.20e+00
  0  0   4.05e+00
  0  0   3.83e+00
  0  0   3.54e+00
  0  0   3.20e+00
  0  0   2.90e+00
  0  0   2.68e+00
  0  0   2.53e+00
  0  0   2.34e+00
  0  0   2.05e+00
  0  0   1.68e+00
  0  0   1.36e+00
  0  0   1.11e+00
  0  0   9.30e-01
  1  3   1.57e+00
  0  0   1.57e+00
  0  0   1.57e+00
  0  0   1.56e+00
  0  0   1.56e+00
  0  0   1.55e+00
  0  0   1.54e+00
  0  0   1.53e+00
  0  0   1.51e+00
  0  0   1.47e+00
  0  0   1.42e+00
  0  0   1.34e+00
  0  0   1.24e+00
  0  0   1.11e+00
  0  0   9.94e-01
  0  0   9.20e-01
  0  0   8.77e-01
  0  0   8.20e-01
  0  0   7.25e-01
  0  0   5.97e-01
  0  0   4.71e-01
  0  0   3.70e-01
  0  0   2.97e-01
  1  4   1.09e+00
  0  0   1.09e+00
  0  0   1.09e+00
  0  0   1.09e+00
  0  0   1.09e+00
  0  0   1.09e+00
  0  0   1.08e+00
  0  0   1.08e+00
  0  0   1.07e+00
  0  0   1.06e+00
  0  0   1.05e+00
  0  0   1.02e+00
  0  0   9.87e-01
  0  0   9.46e-01
