4120.8400 | He I  | he_i  |
4387.9300 | He I  | he_i  |
4437.5500 | He I  | he_i  |
4471.5000 | He I  | he_i  |
4921.9300 | He I  | he_i  |
5015.6800 | He I  | he_i  |
5047.7400 | He I  | he_i  |
5875.6600 | He I  | he_i  |
6678.1600 | He I  | he_i  |
7065.2500 | He I  | he_i  |
7281.3500 | He I  | he_i  |
4685.6800 | He II | he_ii |
3920.6900 | C II  | c_ii  |
4267.1500 | C II  | c_ii  |
5342.3800 | C II  | c_ii  |
6151.4300 | C II  | c_ii  |
6461.9500 | C II  | c_ii  |
7236.1900 | C II  | c_ii  |
4647.4200 | C III | c_iii |
4650.2500 | C III | c_iii |
4651.4700 | C III | c_iii |
4186.9000 | C III | c_iii |
3994.9880 | N II  | n_ii  |
4026.0750 | N II  | n_ii  |
4035.0800 | N II  | n_ii  |
4041.3110 | N II  | n_ii  |
4043.5290 | N II  | n_ii  |
4176.1610 | N II  | n_ii  |
4236.9100 | N II  | n_ii  |
4237.0500 | N II  | n_ii  |
4241.2400 | N II  | n_ii  |
4241.7840 | N II  | n_ii  |
4432.7350 | N II  | n_ii  |
4442.0180 | N II  | n_ii  |
4459.9330 | N II  | n_ii  |
4530.4100 | N II  | n_ii  |
4552.5270 | N II  | n_ii  |
4601.4800 | N II  | n_ii  |
4607.1570 | N II  | n_ii  |
4613.8660 | N II  | n_ii  |
4621.3940 | N II  | n_ii  |
4630.5430 | N II  | n_ii  |
4643.0850 | N II  | n_ii  |
4678.1400 | N II  | n_ii  |
4788.1310 | N II  | n_ii  |
4803.2890 | N II  | n_ii  |
5666.6270 | N II  | n_ii  |
5676.0190 | N II  | n_ii  |
5679.5620 | N II  | n_ii  |
5686.2130 | N II  | n_ii  |
5710.7660 | N II  | n_ii  |
5927.8110 | N II  | n_ii  |
5931.7790 | N II  | n_ii  |
5941.6530 | N II  | n_ii  |
4379.1100 | N III | n_iii |
4640.6400 | N III | n_iii |
3749.4860 | O II  | o_ii  |
3856.1340 | O II  | o_ii  |
3882.1920 | O II  | o_ii  |
3882.4460 | O II  | o_ii  |
3883.1300 | O II  | o_ii  |
3907.4550 | O II  | o_ii  |
4048.2140 | O II  | o_ii  |
4069.6230 | O II  | o_ii  |
4069.8860 | O II  | o_ii  |
4071.2330 | O II  | o_ii  |
4072.1570 | O II  | o_ii  |
4075.8620 | O II  | o_ii  |
4078.8420 | O II  | o_ii  |
4083.8950 | O II  | o_ii  |
4085.1125 | O II  | o_ii  |
4087.1520 | O II  | o_ii  |
4089.2880 | O II  | o_ii  |
4092.9289 | O II  | o_ii  |
4097.2540 | O II  | o_ii  |
4097.2580 | O II  | o_ii  |
4110.7858 | O II  | o_ii  |
4119.2150 | O II  | o_ii  |
4120.2800 | O II  | o_ii  |
4120.5440 | O II  | o_ii  |
4121.4619 | O II  | o_ii  |
4129.3210 | O II  | o_ii  |
4132.8004 | O II  | o_ii  |
4153.2980 | O II  | o_ii  |
4156.5300 | O II  | o_ii  |
4169.2220 | O II  | o_ii  |
4273.1040 | O II  | o_ii  |
4275.5510 | O II  | o_ii  |
4275.9940 | O II  | o_ii  |
4276.2810 | O II  | o_ii  |
4276.7480 | O II  | o_ii  |
4277.4270 | O II  | o_ii  |
4277.8920 | O II  | o_ii  |
4281.3180 | O II  | o_ii  |
4282.9640 | O II  | o_ii  |
4283.7270 | O II  | o_ii  |
4288.8200 | O II  | o_ii  |
4291.2540 | O II  | o_ii  |
4292.2110 | O II  | o_ii  |
4294.7810 | O II  | o_ii  |
4294.9220 | O II  | o_ii  |
4303.8250 | O II  | o_ii  |
4307.2330 | O II  | o_ii  |
4317.7000 | O II  | o_ii  |
4319.6280 | O II  | o_ii  |
4325.7580 | O II  | o_ii  |
4342.0040 | O II  | o_ii  |
4345.5490 | O II  | o_ii  |
4345.5590 | O II  | o_ii  |
4349.4260 | O II  | o_ii  |
4357.2520 | O II  | o_ii  |
4366.8880 | O II  | o_ii  |
4371.6180 | O II  | o_ii  |
4414.9010 | O II  | o_ii  |
4416.9730 | O II  | o_ii  |
4466.4150 | O II  | o_ii  |
4477.9040 | O II  | o_ii  |
4491.2270 | O II  | o_ii  |
4602.1280 | O II  | o_ii  |
4609.4420 | O II  | o_ii  |
4610.2030 | O II  | o_ii  |
4613.1370 | O II  | o_ii  |
4613.6810 | O II  | o_ii  |
4621.2720 | O II  | o_ii  |
4638.8550 | O II  | o_ii  |
4641.8104 | O II  | o_ii  |
4649.1348 | O II  | o_ii  |
4650.8394 | O II  | o_ii  |
4661.6332 | O II  | o_ii  |
4669.2660 | O II  | o_ii  |
4673.7322 | O II  | o_ii  |
4676.2350 | O II  | o_ii  |
4696.3470 | O II  | o_ii  |
4699.2200 | O II  | o_ii  |
4705.3500 | O II  | o_ii  |
4890.8580 | O II  | o_ii  |
4924.5310 | O II  | o_ii  |
3047.5600 | Ne II | ne_ii |
3218.1900 | Ne II | ne_ii |
3244.1000 | Ne II | ne_ii |
3327.1500 | Ne II | ne_ii |
3330.7300 | Ne II | ne_ii |
3334.8400 | Ne II | ne_ii |
3355.0200 | Ne II | ne_ii |
3360.6000 | Ne II | ne_ii |
3367.2200 | Ne II | ne_ii |
3664.0700 | Ne II | ne_ii |
3694.2100 | Ne II | ne_ii |
3709.6200 | Ne II | ne_ii |
3713.0800 | Ne II | ne_ii |
3766.2600 | Ne II | ne_ii |
3777.1400 | Ne II | ne_ii |
